step_n,E_lj,E_elec,E_total
15700,53.59591736323068,-7080.207073226961,-7026.61115586373
15800,53.806000256235265,-7089.532318201049,-7035.726317944814
15900,50.99011948226117,-7127.92153512594,-7076.9314156436785
16000,50.94069481543397,-7141.024060015946,-7090.083365200512
16100,57.87084072876185,-7148.630175497536,-7090.759334768773
16200,58.80108417337542,-7169.103803752933,-7110.302719579558
16300,59.4186023388907,-7189.768940458576,-7130.350338119685
16400,54.86458960122789,-7236.987164748484,-7182.122575147257
16500,54.4960337676035,-7262.406784938427,-7207.9107511708235
16600,52.13032712263066,-7264.539451736306,-7212.409124613675
16700,55.954497920225755,-7277.827191973431,-7221.872694053205
16800,55.41938313421261,-7298.345913267262,-7242.92653013305
16900,50.95916239980368,-7364.881147779102,-7313.921985379298
17000,54.255404061073804,-7377.226599668024,-7322.9711956069505
17100,55.319604310745,-7411.4691900360385,-7356.149585725294
17200,56.59241137079733,-7453.415521264462,-7396.823109893665
17300,58.155009163224605,-7471.565942903267,-7413.410933740042
17400,55.189876512970024,-7510.891025653784,-7455.701149140814
17500,60.260434688075236,-7555.617133915732,-7495.3566992276565
17600,59.30867257531071,-7572.670795169082,-7513.362122593771
17700,65.30580229557985,-7581.809004767255,-7516.503202471675
17800,65.16442359637524,-7595.071329030615,-7529.90690543424
17900,57.9665054737971,-7614.391114642404,-7556.424609168607
18000,58.483025448603,-7636.33855246675,-7577.855527018147
18100,58.59295386529384,-7633.063097956633,-7574.4701440913395
18200,60.0652552485331,-7666.647390809626,-7606.582135561092
18300,61.07699140110688,-7693.5995013932015,-7632.5225099920945
18400,64.85034514725716,-7703.326296818076,-7638.475951670819
18500,65.63024406646358,-7729.36556065291,-7663.735316586446
18600,71.72339881805387,-7777.335239018955,-7705.611840200901
18700,72.06881254259963,-7805.901419328238,-7733.832606785639
18800,77.18505842421317,-7823.997433904451,-7746.812375480238
18900,71.22767728528547,-7837.993221758632,-7766.765544473346
19000,69.20129311759504,-7821.880227238588,-7752.678934120993
19100,66.80352357759323,-7875.284861856045,-7808.481338278451
19200,86.70042669986964,-7924.359591809152,-7837.659165109283
19300,89.26220961781456,-7937.696864602886,-7848.434654985072
19400,86.65375763263981,-7968.506295426929,-7881.852537794289
19500,90.22085310247353,-7980.311376202016,-7890.090523099542
19600,111.35974882058434,-8067.79325099064,-7956.433502170056
19700,119.2730844247781,-8090.35894088203,-7971.085856457252
19800,119.13614185734798,-8128.307841361563,-8009.171699504215
19900,118.70638122102227,-8147.661985321684,-8028.955604100662
20000,115.93457558939879,-8206.123914602305,-8090.189339012906
20100,146.85646745494986,-8256.008070256004,-8109.151602801055
20200,150.0740419510516,-8275.334429229424,-8125.260387278373
20300,166.21027297733625,-8308.241237403976,-8142.03096442664
20400,158.30064653025912,-8339.425900068536,-8181.125253538277
20500,153.36056490063555,-8436.982459650666,-8283.621894750031
20600,158.78557597848337,-8455.693406462624,-8296.90783048414
20700,164.0075180335543,-8462.397673579853,-8298.3901555463
20800,156.73548202094705,-8480.403896152871,-8323.668414131924
20900,156.92577847629823,-8492.347601671143,-8335.421823194845
21000,156.83500132826677,-8499.072696085072,-8342.237694756805
21100,151.58509291677495,-8517.40068333179,-8365.815590415015
21200,156.2112810822548,-8528.025999208177,-8371.814718125923
21300,150.5604682359264,-8522.342769784651,-8371.782301548725
21400,145.0421967392353,-8563.206199684999,-8418.164002945763
21500,139.40617939762717,-8610.68955644085,-8471.283377043223
21600,143.5555223743983,-8619.751967987773,-8476.196445613376
21700,148.67987000872458,-8646.022135012352,-8497.342265003628
21800,142.71054618081686,-8656.098794802161,-8513.388248621344
21900,144.98320343058225,-8654.237842637418,-8509.254639206836
22000,151.2843795628561,-8695.911998867106,-8544.62761930425
22100,212.4112337274188,-8777.504326410379,-8565.09309268296
22200,210.70097007256436,-8776.30311396999,-8565.602143897426
22300,209.75186013600452,-8795.59847324297,-8585.846613106965
22400,203.30652944615764,-8815.002314184674,-8611.695784738517
22500,202.6172330866278,-8824.112955499371,-8621.495722412743
22600,207.50881985495624,-8865.343401820095,-8657.834581965139
22700,198.06016444603355,-8858.131768437705,-8660.071603991672
22800,204.55716920643272,-8874.387096575323,-8669.82992736889
22900,203.35128445810196,-8878.307089513639,-8674.955805055537
23000,204.74677087679427,-8890.969838999488,-8686.223068122694
23100,196.43898828576295,-8911.936068587926,-8715.497080302162
23200,177.86598513099378,-8911.076774787876,-8733.210789656883
23300,183.19232031740304,-9007.896380915707,-8824.704060598304
23400,186.65276625199337,-9049.425079005947,-8862.772312753954
23500,190.01544259405898,-9045.821913054979,-8855.80647046092
23600,200.2712249375809,-9138.613678770422,-8938.34245383284
23700,208.93427051200422,-9160.73787163536,-8951.803601123356
23800,212.38748619515243,-9162.214422912659,-8949.826936717507
23900,214.34120294579165,-9159.29019164113,-8944.948988695338
24000,213.46015366031472,-9174.998066071908,-8961.537912411593
24100,215.02378677651862,-9195.379738487656,-8980.355951711137
24200,211.2716526452884,-9191.991364911899,-8980.719712266611
24300,211.27439635977058,-9194.73371204034,-8983.45931568057
24400,183.13202646714834,-9194.775013228746,-9011.642986761597
24500,201.8096046258835,-9236.612869304108,-9034.803264678225
24600,201.2912270411218,-9268.560961548164,-9067.269734507043
24700,198.0553981871661,-9277.316382511619,-9079.260984324454
24800,197.2639500251204,-9296.311052313244,-9099.047102288123
24900,197.4004743651963,-9281.49141473736,-9084.090940372163
25000,199.95843282326885,-9318.759164840127,-9118.800732016858
