step_n,E_lj,E_elec,E_total
2500,21.206440044273545 kJ mol^-1,-804.5148793351241 kJ mol^-1,-783.3084392908505 kJ mol^-1
2600,9.437924314692538 kJ mol^-1,-809.1502403739572 kJ mol^-1,-799.7123160592647 kJ mol^-1
2700,9.617346945699943 kJ mol^-1,-819.6716458890363 kJ mol^-1,-810.0542989433363 kJ mol^-1
2800,9.297297773496044 kJ mol^-1,-816.081693176327 kJ mol^-1,-806.7843954028309 kJ mol^-1
2900,11.525761688400465 kJ mol^-1,-827.381962733769 kJ mol^-1,-815.8562010453685 kJ mol^-1
3000,11.251655508160454 kJ mol^-1,-836.3915974237462 kJ mol^-1,-825.1399419155858 kJ mol^-1
3100,1.7549848536761188 kJ mol^-1,-841.8133695981116 kJ mol^-1,-840.0583847444356 kJ mol^-1
3200,1.7410120293525748 kJ mol^-1,-858.0626930494058 kJ mol^-1,-856.3216810200532 kJ mol^-1
3300,-0.5304476044350759 kJ mol^-1,-880.2272883994208 kJ mol^-1,-880.7577360038558 kJ mol^-1
3400,-0.6967248597669649 kJ mol^-1,-877.6275176868186 kJ mol^-1,-878.3242425465855 kJ mol^-1
3500,-2.774808139811652 kJ mol^-1,-891.5918646311922 kJ mol^-1,-894.3666727710038 kJ mol^-1
3600,-0.4291691094392253 kJ mol^-1,-904.7668599470117 kJ mol^-1,-905.1960290564509 kJ mol^-1
3700,0.10057471821960179 kJ mol^-1,-906.2911921294981 kJ mol^-1,-906.1906174112785 kJ mol^-1
3800,2.592362278051684 kJ mol^-1,-916.1364217002301 kJ mol^-1,-913.5440594221784 kJ mol^-1
3900,2.9271806343957025 kJ mol^-1,-925.3661740542683 kJ mol^-1,-922.4389934198726 kJ mol^-1
4000,4.3724894305742055 kJ mol^-1,-924.909006031695 kJ mol^-1,-920.5365166011208 kJ mol^-1
4100,10.573738824905567 kJ mol^-1,-942.9187022664423 kJ mol^-1,-932.3449634415367 kJ mol^-1
4200,10.178590262767694 kJ mol^-1,-964.4161242825656 kJ mol^-1,-954.237534019798 kJ mol^-1
4300,5.089088687316103 kJ mol^-1,-992.7318634905566 kJ mol^-1,-987.6427748032405 kJ mol^-1
4400,7.901145113867458 kJ mol^-1,-1004.0458120173172 kJ mol^-1,-996.1446669034498 kJ mol^-1
4500,4.638030359279316 kJ mol^-1,-1011.2642131013962 kJ mol^-1,-1006.6261827421168 kJ mol^-1
4600,7.140154268381496 kJ mol^-1,-1025.2302028272886 kJ mol^-1,-1018.0900485589071 kJ mol^-1
4700,4.143471891838936 kJ mol^-1,-1030.3617976369103 kJ mol^-1,-1026.2183257450713 kJ mol^-1
4800,2.9749886315177627 kJ mol^-1,-1038.8953400181058 kJ mol^-1,-1035.920351386588 kJ mol^-1
4900,-0.7998837920990868 kJ mol^-1,-1031.9135908001288 kJ mol^-1,-1032.7134745922278 kJ mol^-1
