step_n,dE_pme,dE_pdmk,E_pme
60000,-4.09636688161991,-4.100121625111431,-113397.30168869939
61000,-0.40516534927553066,-0.40191533073643176,-114402.1567299702
62000,-0.149050456857917,-0.14982507611198298,-115925.85756377682
63000,-0.08546763072663673,-0.08591821854544764,-117143.4956176714
64000,0.01542245118800204,0.01713303655529382,-118499.2298272422
65000,2.9425716922530496,2.9291237522823885,-119578.68042708811
66000,49.19679119006232,49.195050692933485,-120847.69385725644
67000,0.008048265478910223,0.010784622148761502,-121624.72361936938
68000,-0.31403188252903375,-0.30272789593829985,-122303.31497327164
69000,-0.0233799852995925,-0.02426399902173853,-123586.9759753211
70000,22.840501840009743,22.85323770284502,-124603.59244646862
71000,-0.25354011867371956,-0.25151314312644624,-125498.05716909905
72000,2.812234200130409,2.813531361643135,-126103.75643966976
73000,4.858678565569499,4.858191533594566,-126720.88917046532
74000,9.705332251251788,9.70808477252907,-127434.39713761373
75000,0.7651084920818467,0.7571140183816994,-128205.5397259729
76000,0.415182509334921,0.41566072962755907,-128916.30303170012
77000,-160.93940930014983,-160.97135048417042,-129750.023151491
78000,-0.5562702939489375,-0.5732428857809159,-130401.39034312175
79000,0.4597387001558279,0.4625332333701481,-130974.07739214398
80000,4.540429936923837,4.54424281768258,-132029.03133293465
81000,18.851324670444697,18.845139981055407,-132456.697120557
82000,1.0671347128295974,1.070894559628113,-133035.4778878378
83000,0.19963710832217224,0.20384753721534388,-133481.66326427402
84000,-0.019880376966162717,-0.02251352737826897,-133832.65826066342
85000,45.69354746189118,45.6927083886179,-134056.34222863708
86000,0.26898153807594477,0.2712931499440026,-134493.64735917695
87000,-0.368412477708523,-0.36181041278829856,-135020.0084975263
88000,-0.8042044619199968,-0.8056209697940886,-135322.43434619912
89000,-9.836489589341292,-9.837071395334842,-135646.88903244803
90000,-0.18691471849258623,-0.18367677252742326,-136057.91067966353
91000,-1.8137209868189776,-1.8327368245063573,-136407.35768873154
92000,-114.2880890906025,-114.25227928029943,-136947.0685612237
93000,-1.0731021742515494,-1.0756651997782798,-137375.47931320284
94000,0.7101311646907436,0.708686611939399,-137855.0469299739
95000,-1.2712882556553509,-1.2753804878609767,-138176.29557626217
96000,0.6785278637819011,0.6982754199793795,-138575.81999493382
97000,73.94686209874816,73.92460413332665,-139001.16324721987
98000,-530.5781433970353,-530.6640855108128,-140025.19164865708
99000,-0.3282519451948534,-0.3326755848209053,-139741.01880586013
100000,1.6612368035558023,1.6698529323956213,-139939.32866221623
101000,44.36322310359702,44.34294413864734,-140179.856453774
102000,116.00170244805034,115.97963392529208,-140313.76537597922
103000,0.06260836553671253,0.06526563668260886,-140457.2959375156
104000,0.4494033014127038,0.44832523959362736,-140921.3118118703
105000,0.5548889417509217,0.5377443057775698,-141183.36649641875
