step_n,E_lj,E_elec,E_total
11400,296.69571456294136,-37459.130991517915,-37162.43527695497
11500,302.49039183025263,-37811.098113658445,-37508.60772182819
11600,301.1543934962935,-37879.603269651256,-37578.448876154966
11700,299.7724406287874,-37991.0465400859,-37691.274099457114
11800,305.30083455497925,-38171.48785704138,-37866.187022486396
11900,308.3347792145835,-38465.01383417098,-38156.679054956396
12000,305.65867051819004,-38554.63921939553,-38248.98054887734
12100,306.0752343003394,-38606.7936224183,-38300.71838811796
12200,235.6152133739675,-38738.46801815925,-38502.85280478528
12300,237.2157026269296,-38790.598853701,-38553.38315107407
12400,354.5936621808266,-39206.298696741214,-38851.705034560386
12500,359.78339968839236,-39311.57576508679,-38951.792365398396
12600,364.02539134320057,-39478.73681924481,-39114.71142790161
12700,404.4636803990443,-39712.94228211844,-39308.4786017194
12800,412.4576269658993,-39763.03701106873,-39350.57938410283
12900,451.8043040498974,-39834.47862662818,-39382.674322578285
13000,447.08455054941186,-39878.3796566098,-39431.29510606039
13100,427.7168710686172,-39991.763350594825,-39564.04647952621
13200,418.3832646749686,-40070.77813582051,-39652.394871145545
13300,408.24515694752876,-40141.15524713577,-39732.91009018824
13400,408.00308831559465,-40190.292788178755,-39782.28969986316
13500,405.48561299751367,-40315.068647638574,-39909.58303464106
13600,405.841831886027,-40352.87554616639,-39947.03371428036
13700,407.4293526736488,-40435.86409842726,-40028.434745753606
13800,407.42604845375587,-40598.281143845656,-40190.8550953919
13900,407.5158646874846,-40691.27615307177,-40283.760288384285
14000,430.4782990271983,-40788.85074769307,-40358.37244866587
14100,428.52522532072345,-40882.44554062376,-40453.92031530304
14200,430.6571961590498,-41088.602166204124,-40657.94497004507
14300,430.8643489613054,-41201.2533080571,-40770.3889590958
14400,432.80724541670185,-41355.498508669,-40922.691263252294
14500,431.2123787063776,-41428.93865302663,-40997.72627432025
14600,429.3901008529326,-41490.752889653464,-41061.36278880053
14700,429.09610305124875,-41585.23104575451,-41156.13494270326
14800,428.86404096099454,-41728.870665971444,-41300.00662501045
14900,428.59738500171363,-41786.22594064684,-41357.628555645126
15000,428.7937395597519,-42021.15880381202,-41592.36506425226
15100,429.9709846530154,-42209.40813724285,-41779.43715258983
15200,430.4805704537968,-42272.816234396276,-41842.33566394248
15300,395.1128221562359,-42285.432216595524,-41890.319394439284
15400,397.3583463833417,-42420.0858247385,-42022.727478355155
15500,394.8505213087098,-42482.274700969945,-42087.42417966123
15600,404.1005319619253,-42644.05381771713,-42239.95328575521
15700,405.6354051870257,-42751.63517903465,-42345.99977384763
15800,406.33587015446886,-42876.58772719903,-42470.25185704456
15900,691.2256368922828,-43489.5781659923,-42798.35252910002
16000,691.349382039838,-43617.2976254108,-42925.94824337096
16100,740.3937104279406,-43869.61466722754,-43129.2209567996
16200,742.2206230204392,-44038.72677460706,-43296.50615158662
16300,740.7429652310304,-44125.97152719366,-43385.22856196263
16400,739.1233727476227,-44212.147566489344,-43473.02419374172
16500,740.5848830399921,-44532.694598720554,-43792.10971568056
16600,740.5683499050244,-44692.34322553728,-43951.77487563226
16700,738.8046542050378,-44766.45722928301,-44027.65257507798
16800,739.0332502818824,-44873.75142111989,-44134.718170838
16900,740.3054930279972,-45061.97469643263,-44321.669203404635
17000,741.6894192284025,-45277.665157002004,-44535.9757377736
17100,749.3557554634692,-45414.07109885017,-44664.7153433867
17200,746.1273989428453,-45693.50179226034,-44947.37439331749
17300,744.586190585694,-45825.11011250443,-45080.523921918735
17400,739.1117352452351,-45882.041438912565,-45142.92970366733
17500,739.5389750176051,-46076.49945960503,-45336.96048458743
17600,726.0401735304254,-46403.45918844522,-45677.41901491479
17700,726.7273533809929,-46503.22329677885,-45776.49594339786
17800,726.8462496905931,-46594.80797986396,-45867.96173017337
17900,727.1246924651705,-46700.31529930604,-45973.19060684087
18000,726.8400947105191,-46872.285026660014,-46145.444931949496
18100,726.9605859845619,-47030.12982033912,-46303.16923435456
18200,741.3425950831917,-47065.19383415857,-46323.851239075375
18300,741.0711040404074,-47107.164203932545,-46366.09309989214
18400,741.7043555410211,-47286.289576598036,-46544.585221057016
18500,739.9695229162699,-47406.495440507155,-46666.52591759089
18600,739.9842842942761,-47450.44092114999,-46710.45663685571
18700,740.368797111691,-47566.06035807779,-46825.6915609661
18800,740.0759245752301,-47652.74017794718,-46912.66425337195
18900,739.8822301572525,-47744.195871017226,-47004.313640859975
19000,739.6993921781635,-47884.92097005216,-47145.221577874
19100,740.9134367740619,-47967.57890357582,-47226.66546680176
19200,769.2629674074878,-48158.788406009764,-47389.52543860228
19300,769.4200465617404,-48277.944671994286,-47508.52462543255
19400,770.5272361679317,-48393.409427927014,-47622.88219175908
19500,770.12433973512,-48512.66489739393,-47742.54055765881
19600,771.9138005341124,-48654.929974568906,-47883.01617403479
19700,772.2220303466366,-48704.62225822489,-47932.40022787825
19800,768.5464685043625,-49018.15784928237,-48249.611380778006
19900,783.4939978297853,-49139.4052926751,-48355.91129484532
20000,786.5426224272832,-49234.80138588215,-48448.25876345487
20100,788.2692173963693,-49563.298447266665,-48775.0292298703
20200,786.5782923987222,-49685.781622686845,-48899.203330288125
20300,786.48914153499,-49811.25893762192,-49024.76979608693
20400,650.7447359752829,-49808.32917767492,-49157.58444169963
20500,1005.1674393744172,-50367.73513709917,-49362.56769772475
20600,1013.6966165406627,-50430.00413019012,-49416.30751364946
20700,1013.7651317617904,-50494.70407178506,-49480.93894002327
20800,1018.0742833937586,-50573.889714737714,-49555.81543134395
20900,1018.2852769865177,-50618.63012942624,-49600.34485243972
21000,1018.2255932423673,-50699.41084108327,-49681.185247840906
21100,1018.1447040447908,-50905.60140196186,-49887.45669791707
21200,1017.013814648055,-51155.01275409213,-50137.99893944408
21300,1015.9155610165246,-51246.89054362028,-50230.97498260375
21400,1013.8573700232428,-51312.56949082866,-50298.712120805416
21500,991.3183071415253,-51468.72037461118,-50477.40206746965
21600,991.7302694685076,-51545.38133805104,-50553.651068582534
21700,996.2838442660475,-51607.821724468224,-50611.53788020217
21800,995.9484497565445,-51670.12731476931,-50674.178865012764
21900,992.5500194062603,-51764.68942775988,-50772.139408353614
22000,1018.8849660010662,-51941.16427229934,-50922.279306298275
22100,1022.4625009901571,-52009.54367017447,-50987.08116918431
22200,1073.3908668142453,-52280.90658377699,-51207.51571696274
22300,1041.468669522422,-52479.12267570212,-51437.6540061797
22400,1040.4374089710477,-52554.08741549295,-51513.6500065219
22500,1041.5146373151767,-52642.86797825192,-51601.35334093674
22600,1041.1781275568487,-52773.045177580796,-51731.867050023946
22700,1040.0661711912596,-52923.69592926949,-51883.62975807823
22800,1040.5973113596726,-53001.50541648497,-51960.9081051253
22900,1046.919821648886,-53143.33656227551,-52096.41674062662
23000,1048.3935531873067,-53400.11055860198,-52351.71700541467
23100,1049.5454925806644,-53599.82052274035,-52550.27503015969
23200,1034.3166583594154,-53641.01282578913,-52606.69616742971
23300,1034.334950616665,-53914.16900550794,-52879.834054891275
23400,1046.7590193734204,-54000.59708347318,-52953.83806409976
23500,1025.1024450843495,-54180.14153837341,-53155.039093289066
23600,1024.5679011055681,-54280.721186165356,-53256.15328505979
23700,1020.607214299257,-54551.67411086083,-53531.06689656158
23800,1021.1708262147316,-54623.58796821922,-53602.41714200449
23900,1024.418586490528,-54662.30277370151,-53637.88418721098
24000,1024.0274006728057,-54977.078765048245,-53953.05136437544
24100,1024.5053027500567,-55160.6114393812,-54136.10613663115
24200,1024.8308358623597,-55196.86401386709,-54172.03317800473
24300,1025.472749211069,-55256.04638885332,-54230.57363964225
24400,946.5778158026214,-55253.8079536808,-54307.23013787818
24500,1235.2621130520433,-56017.1022491554,-54781.84013610336
24600,1233.432217189299,-56133.880206431895,-54900.447989242595
24700,1218.0136882573138,-56500.14587954762,-55282.13219129031
24800,1223.3135874531986,-56764.476163071195,-55541.16257561799
24900,1226.6974539584996,-57134.624862959616,-55907.92740900112
25000,1226.5621680115835,-57207.1776865178,-55980.61551850622
25100,1284.0836634217762,-57416.188233431996,-56132.10457001022
25200,1284.471749200094,-57597.14815184275,-56312.67640264266
25300,1303.3849962032582,-57723.91488470124,-56420.529888497986
25400,1375.889508988697,-57869.59746673184,-56493.70795774314
25500,1376.8868268372194,-58069.98954742756,-56693.102720590345
25600,1380.1813429635986,-58183.653532947166,-56803.47218998357
25700,1392.861889337371,-58379.538307418974,-56986.6764180816
25800,1381.8880071855012,-58462.41645464413,-57080.52844745863
25900,1296.898296091324,-58466.58671155184,-57169.688415460514
26000,1297.675231206408,-58586.08174096653,-57288.40650976013
26100,1299.4144449068076,-58700.96549273418,-57401.55104782738
26200,1363.592084040712,-59130.945115388684,-57767.35303134797
26300,1365.4877601221885,-59322.885858353904,-57957.398098231715
26400,1382.4007684053456,-59600.77927711157,-58218.37850870623
26500,1381.446879830959,-59669.82857236983,-58288.38169253887
